Node 1	Node 2	Combined score (>=0.9)	Final action (+/-1)	Curated confidence of ALS relationship (1-5)	Article URL	Keyword
COL9A2	COL1A1	0.914				
UBE3A	ESR1	0.958				
CYP11B2	HSD11B2	0.962				
S100A2	TP53	0.997				
MAPK11	MAPK13	0.907				
PAX5	DAXX	0.958				
IL4	IFNG	0.97				
CXCR5	GPR17	0.9				
HNRNPA2B1	CSTF3	0.911				
ITPR2	INPP5A	0.909				
UBC	HIST1H1C	0.932				
SMN1	UBC	0.966				
CSNK1E	TP53	0.936				
RXRG	RARB	0.938				
COL9A2	COL6A2	0.908				
TP53	KAT2B	0.999				
XRCC4	ATM	0.973				
ALDOB	KHK	0.935				
TCEA1	SUPT4H1	0.958				
DRD2	ADRA2A	0.904				
RAC1	MAPK12	0.916				
TAX1BP1	UBC	0.95				
PAX3	DAXX	0.957				
PRLR	GH1	0.991				
VEGFA	ESR1	0.927				
PPP3CA	SOD1	0.92				
CTNNB1	ILK	0.939				
VEGFA	TP53	0.947				
CASP3	ARHGDIB	0.986				
GAST	CASR	0.938				
INPP5A	ITPKC	0.914				
HLA-B*40	KIR2DL3	0.906				
CGA	SIRPA	0.998				
RAC1	CTNNB1	0.957				
LIPC	APOE	0.977				
NFYC	SREBF2	0.918				
RBPJ	IL4	0.909				
HLA-A	KIR2DL3	0.925				
TRADD	CASP2	0.942				
BRE	TNFRSF1A	0.939				
LTB	LTA	0.952				
GRIN2C	GRIN2B	0.907				
CACNA1S	NCAM1	0.9				
LAMA3	LAMC2	0.991				
PPP3CA	AKAP5	0.906				
ERBB4	MUC1	0.904				
PRKCH	PRKCE	0.901				
VEGFA	GPC1	0.969				
BID	ATM	0.902				
TNF	ESR1	0.91				
RAC1	UBC	0.986				
VEGFC	TGFB3	0.914				
KDR	VTN	0.933				
GRIN2C	NEFL	0.901				
MAP2K6	MAPK13	0.937				
AUH	HMGCS2	0.901				
MAPK11	CDC42	0.932				
NPBWR1	MCHR1	0.904				
VEGFA	ERBB2	0.988				
PPARD	VDR	0.903				
DRD3	DRD2	0.905				
LPAR4	P2RY2	0.905				
COL6A2	COL14A1	0.901				
BID	TNFRSF1A	0.96				
CTNNB1	CDH1	0.999				
PRKCD	TP53	0.913				
NEFL	NEFM	0.968				
TACR2	CASR	0.902				
RASGRF1	RRAS	0.937				
TACR2	GAST	0.906				
PNPT1	NME3	0.912				
CTNNB1	GDNF	0.921				
CHAF1B	CBX5	0.982				
BCL2	TP53	0.999				
PRKCE	TIAM1	0.959				
DHX38	GPKOW	0.992				
ADRA1D	TACR1	0.902				
EIF3F	EIF3E	0.995				
GAST	MCHR1	0.9				
SND1	RBPJ	0.937				
PAPPA	PRG2	0.992				
APAF1	CASP9	0.999				
UBC	SOD1	0.999				
P2RY6	CASR	0.906				
CASP2	CASP3	0.964				
HLA-A	CD3G	0.902				
CD3G	IFNG	0.916				
POLD1	NME3	0.926				
APOB	MAPK14	0.905				
TP53	PRKAB1	0.981				
APAF1	BCL2	0.988				
IMPA1	INPP4B	0.902				
SMN2	SNRPG	0.964				
UBC	ESR1	0.999				
NCBP1	DHX38	0.972				
MUC1	ST3GAL3	0.914				
ADRA1D	GAST	0.909				
ADRA1D	ADRBK1	0.916				
ANKRD2	TP53	0.93				
GRIN1	GRIN2A	0.986				
GALT	UGP2	0.975				
DUSP2	MAPK14	0.93				
CACNA1S	CACNA1C	0.901				
EDN2	GAST	0.908				
CACNB4	NCAM1	0.904				
CTNNB1	YWHAZ	0.963				
EDN2	MCHR1	0.952				
VEGFA	VTN	0.983				
OPRL1	SSTR5	0.9				
BTG2	TP53	0.933				
VEGFA	BAX	0.902				
TP53	TGFB1	0.961				
ILK	CDH1	0.907				
IL6ST	OSMR	0.976				
PTPRF	PPFIA1	0.989				
GPX1	BAX	0.906				
GPX1	GSTZ1	0.914				
MAP2K6	IL6ST	0.9				
ADRBK1	P2RY2	0.929				
NFYC	TP53	0.9				
PAFAH1B1	CDC42	0.915				
CSTF3	SF3B3	0.905				
ERBB2	CDH1	0.946				
FHL3	KLF3	0.936				
PRKCZ	TNFRSF1A	0.912				
NCOR2	ESR1	0.999				
ADRBK1	GNAQ	0.96				
ADRBK1	LTB4R	0.925				
BCL2	BAD	0.999				
POLD4	POLD1	0.999				
GPX1	GSR	0.991				
CTDP1	SUPT4H1	0.938				
EOMES	CD3G	0.924				
UBE3A	TP53	0.999				
GSR	GSTZ1	0.906				
NCBP1	UPF1	0.99				
HNRNPA2B1	SF3B3	0.921				
TCEA1	NCBP1	0.913				
PRKCD	IFNG	0.908				
CDH1	TGFB1	0.916				
CASR	SSTR5	0.907				
BAX	TP53	0.998				
NPBWR1	CXCR5	0.9				
PTPRF	CTNNB1	0.987				
PTPRF	INSR	0.942				
TNF	EPO	0.915				
CYP17A1	POMC	0.985				
PRKCZ	TGFB1	0.911				
RXRG	NR4A1	0.959				
P2RY2	LTB4R	0.906				
TWIST1	MSX2	0.941				
CCR1	GPR17	0.901				
EOMES	IFNG	0.938				
FUS	TARDBP	0.902				
P2RY6	LTB4R	0.91				
CDK9	SUPT4H1	0.972				
TFDP1	CBX5	0.9				
RARB	ESR1	0.908				
ETV4	ERBB2	0.902				
OPRL1	NPBWR1	0.902				
PPYR1	NPBWR1	0.9				
PRLR	GHR	0.92				
UBC	BCL2	0.943				
MAP2K6	MAP3K5	0.994				
RASGRF1	RAC1	0.973				
CDC42	EFNB3	0.914				
CTNNB1	FGF4	0.919				
RAC1	MAPK13	0.911				
TRADD	TNFRSF1A	0.999				
CDK9	CTDP1	0.97				
APAF1	CASP3	0.999				
PRPH	PRPH2	0.99				
IL4	MAPK14	0.984				
GAST	TF	0.939				
CHD8	CTNNB1	0.994				
DRD3	CASR	0.911				
E2F4	RBL1	0.999				
GPLD1	PIGL	0.924				
UBC	KDR	0.959				
DRD2	MCHR1	0.908				
TF	ATP6V0A1	0.9				
NCOR2	VDR	0.932				
DRD2	SSTR5	0.964				
TACR2	HTR2B	0.9				
OPRL1	CASR	0.915				
APOB	APOC3	0.995				
ILK	VTN	0.942				
E2F4	TFDP1	0.996				
BCL2L1	TP53	0.997				
IL13RA1	IL4	0.998				
PPARD	ESR1	0.908				
DRD2	OPRL1	0.902				
TYRP1	TP53	0.909				
CSNK1E	CTNNB1	0.971				
UBC	RAD23A	0.999				
TRADD	TAB1	0.939				
BCL2	BCL2L1	0.99				
MAP3K5	TRADD	0.933				
ADRBK1	CASR	0.916				
RARB	VDR	0.906				
PDE10A	GUCY2C	0.922				
GRK5	HTR2B	0.901				
PKHD1	HNF1B	0.93				
MAPK11	YWHAZ	0.903				
EDN2	TACR1	0.902				
ADRA2A	POMC	0.91				
VEGFA	TGFB1	0.947				
HS3ST3A1	GPC1	0.91				
FGFR1	CTNNB1	0.969				
PPYR1	MCHR1	0.903				
RAC1	RRAS	0.928				
PSMC5	PSME3	0.911				
SRD5A1	POMC	0.917				
UBC	RB1	0.929				
RFC5	RFC1	0.999				
MAP2K3	MAPK11	0.917				
MAP2K3	TAB1	0.946				
TOP1	NCL	0.983				
TBX5	KAT2B	0.923				
UBQLN2	RAD23A	0.991				
MUC1	CDH1	0.915				
SREBF2	SMAD3	0.915				
CASP3	MAPK14	0.901				
DCT	TYRP1	0.947				
PPIA	PPP3CA	0.996				
MAP2K6	CDC42	0.943				
RFC5	POLD4	0.971				
MEF2A	MAPK12	0.91				
PRF1	CD3G	0.928				
UBE3A	SCRIB	0.906				
TP53	MAPK14	0.994				
UPF3A	UPF1	0.999				
UBC	PSME3	0.971				
STAT1	IL6ST	0.989				
DRD3	SSTR5	0.9				
CYBA	MAPK14	0.927				
BAK1	BAX	0.977				
CCR1	CCL1	0.956				
MUC1	ST3GAL4	0.911				
MAP2K6	TAB1	0.958				
TACR2	BDKRB1	0.9				
NPY2R	POMC	0.925				
CTNNB1	RAB5A	0.909				
CDK8	MED22	0.955				
MED22	TGFB1	0.911				
DRD3	PPYR1	0.901				
PAX5	CD79A	0.931				
PPP3CA	PPP3CC	0.903				
PPYR1	DRD2	0.9				
PLXNA3	DPYSL2	0.919				
CR2	C3	0.997				
KCNA3	KCNS3	0.911				
AREGB	ERBB2	0.929				
POLD4	NME3	0.907				
VIPR1	POMC	0.907				
CTNNB1	MEN1	0.943				
PAX5	RUNX1	0.954				
HSP90AA1	FGFR3	0.922				
LIMK1	SEMA3A	0.921				
SMAD3	KAT2B	0.948				
PPP3CA	PPP2R4	0.902				
PPP3CB	CYCS	0.908				
GNAL	ESR1	0.9				
RAC1	CDC42	0.958				
CASR	POMC	0.926				
STAT1	UBC	0.944				
TACR1	HTR2B	0.9				
UBC	TRIM25	0.918				
MAPK14	TAB1	0.994				
IL6ST	OSM	0.984				
PDE1C	GUCY2C	0.924				
SMN2	SMN1	0.999				
DRD2	NPBWR1	0.9				
ITGA5	COL1A1	0.936				
PRKCZ	TIAM1	0.969				
MAP2K3	TNFRSF1A	0.917				
CCR1	CXCR5	0.909				
RBPJ	KAT2B	0.95				
C3	BDKRB1	0.9				
CGA	POMC	0.939				
RXRG	NCOR2	0.911				
CDK9	TP53	0.984				
HNRNPA1	6-Sep	0.917				
SREBF2	SEC24C	0.902				
NPY2R	CXCR5	0.903				
SLC18A3	RAB3A	0.907				
BID	CASP3	0.961				
MAP3K5	DAXX	0.998				
TACR1	MCHR1	0.901				
RFC5	POLD1	0.997				
KLF4	TP53	0.948				
HSP90AA1	ERBB2	0.999				
DRD3	C3	0.923				
CEL	LIPC	0.944				
NR0B1	ESR1	0.978				
PRKCD	PRKCH	0.902				
DCTN1	MAP2K6	0.92				
CCR1	C3	0.91				
CTNNB1	SMAD3	0.98				
IL6ST	IFNG	0.924				
PRF1	EOMES	0.955				
BID	BCL2L1	0.999				
NOX1	MAPK14	0.926				
CASP3	BAD	0.946				
UBC	FASN	0.993				
GUCY2C	PDE1B	0.91				
BAD	PPP3R1	0.905				
BCL2	CASP3	0.972				
RAC1	ALS2	0.943				
POMC	MCHR1	0.938				
BAK1	BCL2	0.999				
